LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
AUSTRALIA,GDEXPRD,TOT,PC_GDP,A,1.477464521,0,1.649470635,0,1.731244803,0,2.004172676,0,2.245701884,0,2.182304101,2.114030536,,2.093892514,,1.875612466,,,
,,,,,,,,,,,,,,,,,,,,,,,
AUSTRIA,GDEXPRD,TOT,PC_GDP,A,1.886024244,1.992104481,2.065983838,2.174556416,2.166116646,2.373239905,2.359227098,2.418432317,2.569448163,2.596736777,2.726100573,2.668677896,2.91471878,2.954918369,3.084286721,3.049785465,3.125226061,3.157430713,
,,,,,,,,,,,,,,,,,,,,,,,
BELGIUM,GDEXPRD,TOT,PC_GDP,A,1.922356524,2.021675053,1.890729581,1.831838434,1.808979588,1.782309893,1.814264006,1.844125525,1.924133022,1.98537134,2.050805189,2.155332159,2.273338252,2.333934258,2.387294151,2.461788053,2.545359432,2.595205715,
,,,,,,,,,,,,,,,,,,,,,,,
CANADA,GDEXPRD,TOT,PC_GDP,A,1.864692756,2.02831202,1.978726338,1.974782355,2.004164732,1.977589716,1.948724272,1.908572562,1.860401241,1.922270818,1.829580117,1.79132289,1.77659962,1.709642688,1.718233951,1.697175336,1.697281977,1.590996703,1.548202425
,,,,,,,,,,,,,,,,,,,,,,,
CZECH,GDEXPRD,TOT,PC_GDP,A,1.113191474,1.103332971,1.102018016,1.147409704,1.145589567,1.168347672,1.231731897,1.302275111,1.239327215,1.29438486,1.336884515,1.555706853,1.782312212,1.899730463,1.972847232,1.929233604,1.680145245,1.790791428,
,,,,,,,,,,,,,,,,,,,,,,,
DENMARK,GDEXPRD,TOT,PC_GDP,A,0,2.324664656,2.441445651,2.510845457,2.41916299,2.393373163,2.403002895,2.515412817,2.773457232,3.055141182,2.917065634,2.944650741,2.981247513,2.970481588,2.914043,3.054966813,3.118679222,3.055828861,
,,,,,,,,,,,,,,,,,,,,,,,
FINLAND,GDEXPRD,TOT,PC_GDP,A,3.245687641,3.197946637,3.257399298,3.3021383,3.314939616,3.329764519,3.337618154,3.345769412,3.5470838,3.748831624,3.725975788,3.638811596,3.419483165,3.287186851,3.169306092,2.891565691,2.742637905,2.757222232,
,,,,,,,,,,,,,,,,,,,,,,,
